bin,name,winery,style_type,main_varietal,appellation,sub_region,main_region,country,vintage,price,second_varietal,third_varietal,rp,ws,cases,alcohol,profile
1001,Krug,Grand Cuvee,Brut,,,Reims,Champagne,France,NV,335,,,,,,,
1002,Deutz,Cuvee William Deutz,Brut,,,Ay,Champagne,France,1998,281,,,,,,,
1003,Veuve Cliquot Ponsardin,La Grande Dame,,,,Reims,Champagne,France,1998,273,,,,,,,
1004,Dom Perignon,,,,,Eperney,Champagne,France,2003,239,,,,,,,
1005,PerrierJouet,Fleur de Champagne,,,,Eperney,Champagne,France,2003,235,,,,,,,
1006,Bollinger,La Grande Annee,,,,Ay,Champagne,France,2002,203,,,,,,,
1007,Veuve Cliquot Ponsardin,Yellow Label,Brut,,,Reims,Champagne,France,NV,128,,,,,,,
1008,Moet & Chandon,Rose Imperial,Brut,,,Eperney,Champagne,France,NV,120,,,,,,,
1009,Taittinger,La Francaise,Brut,,,Reims,Champagne,France,NV,96,,,,,,,
1010,Schramsburg,,Brut Rose,,,Napa Valley,Napa,California,2009,95,,,,,,,
1011,G.H. Mumm,Cordon Rouge,Brut,,,Reims,Champagne,France,NV,90,,,,,,,
1012,Moet & Chandon,Imperial,Extra Dry,,,Eperney,Champagne,France,NV,89,,,,,,,
1013,Schramsburg,Blanc de Blanc,,,,Napa Valley,Napa,California,2007,82,,,,,,,
1014,Nicolas Feuillatte,,Brut,,,Eperney,Champagne,France,NV,69,,,,,,,
1015,Lucien Albrecht,Cremant de Alsace,Brut Rose,Pinot Noir,,Alsace AOC,Alsace,France,NV,52,,,,,,,
1016,Castello del Poggio,Moscato d'Asti,,Moscato,,Asti,Piedmont,Italy,NV,43,,,,,,,
1021,Louis Jadot,,,,BeaujolaisVillages,Beaujolais,Burgundy,France,2010,30,,,,,,,
1022,LaboureRoi,Maximum,,,Cote de Nuits,Cote d'Or,Burgundy,France,2007,43,,,,,,,
1023,Joseph Drouhin,,,,Cote de Beaune,Cote d'Or,Burgundy,France,2009,55,,,,,,,
1024,Louis Jadot,,,,Pommard,Cote d'Or,Burgundy,France,2006,88,,,,,,,
1025,Louis Jadot,Gevrey Chambertin,,,Cote de Nuits,Cote d'Or,Burgundy,France,2009,93,,,,,,,
1026,Vincent Girardin,Renardes,,,Cote de Beaune,Cote d'Or,Burgundy,France,2005,130,,,,,,,
1041,MaconLugny,Les Charmes,,,Cave de Lugny,Maconnais,Burgundy,France,2011,45,,,,,,,
1042,Domaine Laroche,,,,,Chablis,Burgundy,France,2009,58,,,,,,,
1043,Louis Jadot,,,,Pouilly Fuisse,Maconnais,Burgundy,France,2010,68,,,,,,,
1044,Louis Latour,Puligny Montrachet,,,Cote de Beaune,Cote d'Or,Burgundy,France,2009,110,,,,,,,
